Affy drosophila 2	FlyBaseName gene
1633794_a_at	Pino
1641341_at	CG4552
1633826_at	Iris
1640944_at	CG4577
1637772_at	CG4726
1627204_at	CG4749
1628092_at	Tfb4
1629155_at	CG4764
1629012_at	capt
1627066_at	capt
1634419_at	Tango14
1624982_s_at	CG5080
1626247_at	CG4785
1626149_at	CG14341
1632717_a_at	CG14341
1632166_at	Plap
1637791_at	CG31922
1629517_at	CG5118
1639599_at	CG4887
1632876_a_at	CG4896
1639599_at	CG4896
1628309_at	CG5126
1640877_at	Tgt
1623996_at	CG5001
1626441_at	CG5139
1634657_at	CG5011
1641385_at	CG14342
1637590_at	CG42329
1636678_at	CG42329
1638892_at	CG5397
1626053_at	robo3
1628647_at	a5
1638750_at	CG5440
	CG33923
	CG33922
1636466_s_at	Cdlc2
1627876_at	CG5556
1638910_at	CG5561
1628274_a_at	CG31924
1623008_at	CG5565
1630011_at	CG31659
1630593_at	NLaz
1625918_a_at	CG14346
1636905_at	lea
1630377_at	CG31928
1623292_at	CG33128
1638332_at	CG31926
1633182_at	CG31661
1640111_s_at	CG18131
1628497_at	CG7420
1640543_at	CG18132
1633058_at	halo
1629646_at	Or22a
1631298_at	Or22b
1631311_at	CG14351
1624835_at	CG10869
1631591_at	CG31935
1627207_at	CG14352
1631856_a_at	RFeSP
1641174_at	RFeSP
1628005_at	chinmo
1629484_s_at	chinmo
1636985_s_at	chinmo
1630572_at	cpb
1629600_at	CG17660
1638783_at	mRpL48
1630378_at	frtz
1625651_at	CG18317
1634065_s_at	Eno
1637923_at	CG31938
1623020_at	CG31937
1630565_at	CG17652
1634296_s_at	CG17646
1632626_at	CG17712
1634494_at	CG17648
1625222_at	Gr22f
1639313_at	CG17650
1627075_at	Gr22e
1625871_at	Gr22c
1628329_at	Gr22b
1628374_at	Gr22a
1640278_at	CG31933
1638139_at	CG31664
1626651_at	c-cup
1633775_at	CG31665
1623276_at	CG31663
1631812_at	CG7295
1628020_at	CG15358
1640567_at	CG7337
1629041_at	CG15357
1629041_at	CG33673
1635801_at	CG33673
1624470_at	CG31670
1624372_at	CG10908
1633326_at	CG15356
1639111_at	CG15362
1641097_at	CG7289
1629055_a_at	Got2
1625334_at	NPC2
1636550_at	Obp22a
1638097_at	CG33543
1626439_at	CG15353
1624362_at	Nplp4
1638884_at	CG4238
1626437_at	CG42296
	lectin-22C
1636302_s_at	Su(dx)
1633843_at	CG31672
1629341_at	Or22c
1630152_at	dpr3
1626635_at	dpr3
1641156_at	dpr3
1635076_at	CG12674
1636689_at	CG4259
1631620_at	GlyP
1637329_a_at	tho2
1627934_at	CG11723
1633734_at	CG7261
1626985_a_at	AIF
1639829_at	CG15382
1627394_s_at	aop
1633055_at	CG10874
1638122_a_at	CG10874
1625901_s_at	CG34172
1639843_at	CG31668
1638421_at	CG33124
1628942_at	CG15385
1624240_at	Uch
1640652_at	CG34174
1639589_at	CG10880
1625679_at	CG15386
1625679_at	CG42371
1626362_at	mio
1625175_s_at	CG7082
	CG15387
1640531_at	CG15387
	l(2)s5379
1624142_a_at	l(2)s5379
1628938_at	CG10882
1623557_at	CG31679
1625277_at	CG32463
1641601_at	CG31682
1631783_at	CG4267
1624802_at	CG31686
1631529_at	Ser12
1623756_at	CG17239
1623211_at	CG17234
1627542_at	CG17012
1633479_a_at	CG4270
1630972_at	CG4270
1626720_at	CG34049
1623824_at	CG17242
1627138_at	CG4271
1627162_at	CG31681
1632826_at	CG17237
1631862_at	robl22E
1638178_at	CG31949
1636233_at	CG16995
1636561_at	CG9967
1630032_at	eys
1633714_at	eys
1632560_at	eys
1627703_at	eys
1634895_s_at	Rab5
1639151_a_at	CG4272
1628013_at	CG3597
1628271_at	CG3609
1635526_at	CG15390
1624537_s_at	CG9866
1631672_at	CG9867
1630955_at	CG9870
1625904_at	CG3557
1632620_at	VGlut
1640545_at	VGlut
1623834_at	CG18641
1640160_a_at	CG31948
1633402_at	CG34448
	CG34447
1636932_at	CG9886
1630026_s_at	dpp
1625208_at	CG15393
1636044_at	Slh
1627494_s_at	oaf
1624913_s_at	oaf
1626218_s_at	oaf
1630645_at	CG3528
1629698_at	CG3515
1626324_at	Cyp309a1
1634664_at	Cyp309a2
1632949_at	Rad1
1624375_at	Rad1
1632949_at	CG34314
1624375_at	insv
1626264_at	CG9883
1625655_at	CG3214
1634204_at	p16-ARC
1641560_at	Drp1
1635945_at	CG15394
1631653_at	CG15395
1633699_at	CG9962
1634511_at	CG33125
1624338_at	CG17301
1638928_at	Or23a
1638878_at	CG17302
1630787_at	CG9879
1637921_a_at	Gr23a
1627186_at	Gr23a
1636042_at	Gr23a
1626238_at	CG31690
1640347_at	CG15398
1639286_s_at	CG31689
1630393_a_at	Hrs
	Hrs
1638121_at	CG9961
1630931_at	Cwc25
1639766_at	Pgk
1628814_s_at	CG9894
1638104_a_at	CG9960
1638104_a_at	snapin
1630732_at	Trn-SR
1630506_at	CG3077
1633763_at	aph-1
1630803_at	Taf10b
1635508_at	Taf10
1628991_at	colt
1632642_a_at	CG2862
1635897_at	CG15399
1636345_s_at	syt
1635102_at	syt
1626766_s_at	daw
1630254_at	CG2964
1623646_at	CG15400
1636572_at	Duox
1637540_at	CG3123
1635783_a_at	CG3119
1638081_at	CG3119
1640890_at	Cpr23B
1633410_at	CG2975
1635418_at	CG18558
1639643_at	CG18557
1627281_at	CG3117
1631182_at	CG2983
1626262_s_at	CG3104
1623644_s_at	oho23B
1633253_s_at	CG2991
1637307_at	CG31694
1624880_at	CG8813
1640698_at	CG8814
1634107_at	Prx6005
1639522_at	CG31950
1629084_at	betaggt-II
1630857_s_at	NTPase
1623171_s_at	lilli
1635264_s_at	lilli
1637957_s_at	Rbp9
1630971_s_at	Rbp9
1624747_at	Ts
1625109_at	Rrp1
1626125_at	gammaTub23C
1635939_a_at	CG9641
1625524_at	CG3165
1637143_at	CG9643
1639816_at	Chd1
1630196_at	Bem46
1628198_at	okr
1640924_a_at	CG3558
1623810_at	CG17265
1640103_s_at	CG17224
1628315_at	CG17264
1632846_at	alpha4GT1
1638446_a_at	CG3542
1638857_at	CG3605
1634796_at	CG17219
1639579_s_at	CG17257
1641706_at	CG17258
1638642_at	CG17259
1625081_at	CG17260
1638047_at	cnir
1622962_a_at	CG17221
1639712_at	CG17261
1639230_at	v(2)k05816
1624549_at	CG3523
1641048_a_at	toc
1639436_at	PpD6
1625184_at	CG15403
1641506_at	CG12400
1634683_at	Mad
1626850_s_at	gkt
1624269_at	gkt
1624274_at	CG31953
1626850_s_at	CG31953
1624269_at	CG31953
1638937_at	CG3488
1625298_at	CG34406
1633192_at	CG34406
1637486_at	CG31698
1637995_at	CG15404
1628661_at	CG34393
1634758_at	CG34393
1637800_at	CG3347
1637041_a_at	CG3332
1634180_s_at	CG9664
1634129_at	CG9664
1634129_at	CG9663
1630334_at	CG15406
1623393_a_at	CG3277
1624312_at	CG3326
1626081_at	CG8837
1634418_at	CG33281
1637123_a_at	CG33281
1625342_at	CG33282
1626664_at	CG3285
1640529_at	CG15408
1628224_a_at	E23
1640914_at	CG8838
1641663_at	CG34394
1630694_at	CG34394
1637626_at	CG15412
1638645_at	CG9662
1629241_at	Ptpa
	Sfp23F
	CG42460
1624605_at	CG34175
1639535_at	pgant2
1639881_at	pgant2
1625608_at	CG8840
1628401_at	CG31952
1633709_at	CG2772
1625722_at	CG2774
1637606_at	CG12795
1629650_at	Cog3
1629189_at	sec5
1637422_at	CG3246
1635840_s_at	msl-2
1634249_s_at	Pdsw
1639821_at	CG3238
1623789_at	CG31776
1628296_at	pgant4
1635900_at	Thor
1626891_at	CG15414
1631468_a_at	tim
1634188_a_at	tim
1638098_at	CG31954
1623193_at	CG33123
1625528_at	CG17593
1639298_at	CG3213
1628746_at	CG8851
1624958_a_at	CG8851
1624817_at	Sr-CIV
1624893_at	CG8852
1623179_at	Spindly
1639369_at	CG8853
1627100_s_at	drm
1634350_at	sob
1625850_at	odd
1638330_at	Dot
1629673_at	CG15418
1629886_s_at	for
1637070_at	CG34340
	Sfp24Ba
	CG42463
1628631_at	Sfp24Bb
1629083_at	CG16704
1628107_at	CG3513
1632872_at	Acp24A4
1624057_at	CG16713
1628474_at	CG16712
1635968_at	CG3604
1625457_at	CG10031
	CG42464
	CG42465
	Sfp24C1
	CG42467
1636605_at	CG2816
1636682_at	CG31778
1640478_at	CG31777
1627253_at	cutlet
1633946_at	CG31955
1634381_a_at	CG2818
1637857_at	lectin-24A
1623070_a_at	Shaw
1632961_at	Shaw
1627797_at	CG10019
1622942_at	CG31959
1637789_at	CG31772
1635803_s_at	bowl
1640076_at	CG31960
1636589_s_at	CG31960
1636589_s_at	CG31958
1634283_at	CG3921
1624889_a_at	l(2)k16918
1635257_at	CG3407
1640129_at	slp1
1627053_at	slp2
1633242_a_at	CG3964
1623691_at	CG3964
1632753_a_at	CG3980
1641624_at	CG31957
1637398_a_at	capu
1630039_at	fred
1634014_at	CG31773
1632575_at	CG34176
1640827_at	CG15422
1637589_at	CG15423
	CG10039
1628393_at	CG10039
1627506_at	ed
1631505_at	Sr-CIII
1631821_at	Sr-CI
1641418_at	CG2955
1631063_at	Or24a
1638752_s_at	CG31961
1630256_at	lectin-24Db
1638844_s_at	CG3714
1624125_at	ft
1623434_at	CG3702
1633277_at	RpL40
1628312_at	CG15425
1639915_at	Art2
1636076_a_at	tutl
1637631_at	tutl
1641128_a_at	tutl
1627602_at	tutl
1639004_at	tutl
1624256_at	CG16857
1629559_s_at	Atet
1628693_at	CG15429
1627704_a_at	Traf4
1637171_at	Traf4
1625152_s_at	CG17612
1636140_at	CG3338
1628599_at	Psf2
1639415_at	Tps1
1630332_at	CG3652
1641556_a_at	l(2)k05819
1636897_at	CG33003
1627900_at	Dim1
1633891_at	CG15431
1633150_a_at	CG34177
1633150_a_at	CG34178
	Sfp24F
1628516_at	CG15432
1629221_at	morgue
1625244_at	Elp3
1625271_at	CG15438
1640456_at	CG15439
1629144_at	CG15440
1640052_at	CG15434
1624340_at	Gs1l
1632028_a_at	Gs1l
1633149_at	Gs1l
1639377_at	RpL27A
1640834_at	mRpL27
1636207_at	CG15435
1636352_at	CG15443
1631699_at	CG15436
1627938_at	CG17840
1627041_s_at	ine
1634075_at	dp
1637972_at	Umbrea
1640506_at	BG642163
1638908_at	CG15635
1626903_at	CG3355
1640196_at	CG11929
1623892_at	Bsg25A
1623696_at	CG15634
1640942_at	CG3251
1626211_at	CG34351
1624194_a_at	Taf12L
1637351_at	CG15631
1635787_at	CG15630
1631181_a_at	CG3294
1638365_at	CG3244
1632498_at	CG15629
1633686_at	CG3225
1636248_at	CG15628
1631975_at	CG15628
1635482_at	CG2976
1640674_at	CG15627
1636654_s_at	CG15626
1637632_at	CG12194
1638173_s_at	CG2950
1630340_at	CG11927
1629440_at	mRpS2
1633448_at	CG11926
1633448_at	CG31660
1635488_at	CG31660
1630372_s_at	Cf2
1633622_at	CG3008
1628479_at	CG15625
1632317_at	CG3036
1639098_s_at	CG2837
1627509_s_at	hoe1
1634295_at	hoe2
1638419_at	Sgs1
1633900_at	CG14044
1638947_at	mRpL24
1623853_at	betaggt-I
1635474_at	jet
1624506_at	Jon25Biii
1639196_at	Jon25Bii
1627869_at	Jon25Bi
1626531_at	Marcal1
	CG34124
1629884_at	CG34125
1630519_at	Trip1
1636845_at	CG8885
1633967_at	CG3756
1627056_a_at	l(2)05714
1638140_at	CG14043
1640523_at	mRpL28
1628521_at	Gmd
1632503_at	CG3792
1625044_at	CG8891
1625348_s_at	CG8892
1625079_at	CG34126
1629586_at	CG34126
1630027_s_at	Rtnl1
1634159_s_at	CG31917
1636722_at	CG31917
1634159_s_at	CG42373
1636722_at	CG42373
1624032_at	CG3887
1639229_at	vkg
1630150_s_at	Cg25C
1641237_a_at	SP555
1629539_s_at	SP555
1641237_a_at	CG14042
1629539_s_at	CG14042
1628422_s_at	CG31650
1632394_s_at	CG31919
1632394_s_at	CG33995
1636930_at	CG9121
1625078_at	eIF-3p40
1629990_at	CG14040
1635831_at	CG14036
1627685_a_at	His3.3A
1632694_at	CG31918
1628531_at	Rpn11
1638464_a_at	qtc
1639957_s_at	RpL37A
1635173_at	pgant5
1627123_at	CG5828
1629823_at	CG4230
1632455_at	CG8680
1638426_at	CG14035
1632945_at	Msp-300
1641717_s_at	Msp-300
1625210_a_at	Msp-300
1627250_at	Msp-300
1641672_at	Msp-300
1624911_at	Cyp28d2
1633639_at	Cyp28d1
1623604_at	CG7742
1627620_at	CG14034
1632633_at	TpnC25D
1636221_a_at	tkv
1630660_at	CG14033
1634640_at	Cyp4ac1
1623866_at	Cyp4ac2
1638739_at	Cyp4ac3
1626798_a_at	Bsg25D
1623237_at	Bub1
1639273_s_at	vri
1636447_at	CG14024
1640735_at	CG14023
1638416_at	cype
1625430_at	CG14022
1623635_at	TotM
1640365_s_at	CG14021
1638636_at	CG12512
1637729_at	nompC
	nompC
1625535_at	H15
1639216_a_at	CG31647
1637867_at	mid
1634371_at	CG14020
1636286_at	CG7382
1623936_at	cl
1629923_at	CG7371
1641683_at	CG6907
1624868_at	Cap-D3
1638621_at	CG31648
1627512_at	CG31915
1641134_at	CG7277
1639996_at	tomb
1624834_at	CG14015
1639996_at	CG14015
1629620_s_at	Hel25E
1636809_at	Lam
1628828_s_at	Oscillin
1628614_at	CG14014
1623548_at	CG18269
1632730_at	CG14013
1626853_a_at	CG14017
1634301_at	CG14017
1630710_at	GluRIIA
1625654_at	GluRIIB
1638719_s_at	CG14011
1626849_at	CG7251
1635598_at	CG18266
1625782_at	CG14010
1627859_at	CG31646
1626179_s_at	Hsp60C
1624869_at	CG12511
1626477_at	CG7236
1628116_at	CG14007
1636582_at	CG34011
1638973_s_at	CG11149
1637033_at	sip1
1633629_at	CG11030
1632727_at	CG14006
1635031_s_at	CG11147
1625255_at	CG11029
1638612_at	obst-E
1628498_at	obst-E
1633801_s_at	CG9171
1638781_at	CG31913
1636482_at	CG14005
1633046_at	CG7239
1636409_at	CG11034
1638958_at	CG31644
1639066_at	CG34381
1633531_at	CG34381
1626233_at	CG8965
	Sfp26Ac
1627393_at	CG9029
1624292_a_at	Acp26Ab
1638714_at	Acp26Aa
1641070_at	CG9021
1632057_at	bchs
1637580_at	CG14000
1631128_s_at	CG9016
1635606_at	dsf
1616608_a_at	Gpdh
1634893_at	Gpdh
AFFX-r2-Dros-GAPDH-5	Gpdh
AFFX-r2-Dros-GAPDH-3	Gpdh
AFFX-r2-Dros-GAPDH-M	Gpdh
1636311_at	Gpdh
1625949_at	Gpdh
1628438_at	CG9044
1633360_at	CG13999
1640990_at	CG13999
1640990_at	CG13998
1641651_at	Vm26Ab
1625398_at	Fcp26Ac
1635847_at	Vm26Aa
1639805_at	Fcp26Aa
1627038_at	CG13992
1632843_at	Ucp4C
1636463_at	Ucp4B
1634681_a_at	Ucp4B
1627781_at	Ucp4B
1640251_s_at	chic
AFFX-Dros-eIF-4a_3_a	eIF-4a
AFFX-Dros-eIF-4a_M_a	eIF-4a
1638664_s_at	eIF-4a
AFFX-Dros-eIF-4a_5_a	eIF-4a
1625414_at	ifc
1633855_s_at	lid
1627225_at	Tsp26A
1633914_at	Gal
1631188_a_at	CG9098
1633895_at	H2.0
1627815_at	CG13996
1633261_a_at	CG9107
1623304_at	CG9107
1634686_at	CG9109
1639757_at	mtm
1632406_at	CG9117
1625745_at	CG31643
1629194_s_at	ade2
1637285_s_at	slmo
	CG34179
1637285_s_at	CG34179
1624890_s_at	CG12393
1626682_s_at	CG9135
1632424_at	CG13995
	CG34180
1633269_at	CG9140
1635621_at	CG13994
1635843_at	CG9144
1635422_s_at	CG9147
1623971_at	CG9150
1640263_at	CG13993
1627459_at	CG9154
1624305_at	Kr-h2
1623778_at	CG9162
1631481_a_at	Kr-h1
1628795_s_at	CG9175
1626294_a_at	stai
1629787_at	CG31642
1636770_at	Arc-p20
1630755_at	CG9226
1625411_at	tectonic
1624591_at	CG9222
1629022_at	CG13991
1632017_at	CG13990
1634244_s_at	CG31639
1625020_at	CG13989
1629988_at	CG34380
1637838_at	CG34380
1640109_at	Ugt37b1
1639164_at	CG9486
1635232_at	CG13983
1634372_at	Ddr
1623389_at	Ddr
1625350_at	Ddr
1630718_at	Ddr
1629096_at	CG13984
	Gef26
1631134_at	Gef26
1623837_at	Pez
1631637_a_at	Cpr
1627801_at	CG9497
1623706_at	CG9498
1638633_at	ppk7
1639204_at	ppk14
1625468_at	CG9500
1623438_at	CG9505
1638948_at	slam
1637932_at	CG42368
1623741_at	CG42368
1634466_at	CG9507
1631405_at	CG42370
1631604_at	CG42369
1637777_at	CG13982
1634546_at	Tig
1632928_at	CG9523
1637461_at	CG9527
1632361_at	retm
1639346_at	CG9526
1630605_at	CG16947
1632421_at	CG9531
1634606_a_at	mmy
1632301_at	CG9536
1638663_at	Sec61alpha
1630023_at	DLP
1638866_at	CG9542
1633785_at	epsilonCOP
1634320_at	CG9548
1636437_at	CG31638
	CG31638
1637142_at	CG9547
1638881_at	CG9550
1624190_at	CG31637
1623206_a_at	eya
1640025_at	osm-6
1640672_at	CG11015
1640123_at	CG11043
1636478_at	CG9596
1636766_at	Ent2
1638245_at	CG13766
1634246_at	CG11319
1641169_s_at	CG11050
1641217_at	CG11320
1622964_at	CG34345
1630646_at	CG34345
1638360_at	Oatp26F
1634458_at	CG31635
1634884_s_at	CG31635
1635997_a_at	Tango1
1623426_at	CG31633
1630168_at	CG31636
1624812_at	CG11070
1631076_at	CG13771
1633092_at	cup
1641647_at	CG9232
1628229_at	Spn27A
1633092_at	CG34310
1632624_at	cort
1624160_at	CG11329
1624160_at	Nhe3
1626807_a_at	Nhe3
1636251_at	CG11327
1641384_a_at	CG11327
1641490_s_at	Tsp
1636251_at	Tsp
1635442_a_at	GRHR
1629609_at	GRHR
1624335_at	CG11188
1634147_a_at	homer
1632099_s_at	Liprin-alpha
1632324_at	CG11201
1629497_at	CG11323
1633777_at	CG11221
1623502_at	CG31910
1636862_at	CG11322
1630201_a_at	CG11321
	CG11321
1630577_at	CG17378
1638828_a_at	CG17378
1640364_at	nrv1
1625215_s_at	nrv2
1629670_at	CG17376
1636364_a_at	CG17376
1639779_at	CG17376
1634203_at	CG17377
1638626_a_at	CG17377
1626613_at	CG11236
1625526_at	CG17375
1628245_at	sens-2
1633485_at	sens-2
1631034_at	Rca1
1630466_at	l(2)k09022
1633268_s_at	Nha1
1630914_s_at	neuroligin
1628147_at	neuroligin
1625444_at	CG13773
1632904_at	CG10354
1633731_at	wee
1624496_at	xl6
1629447_at	CG32829
1630950_at	nop5
1632891_s_at	Hrb27C
1639778_at	CG18304
1633274_at	CG10158
1629794_at	iHog
1633609_at	Gas41
1626710_at	SA
1635759_at	CG13775
1630384_at	CG3430
1624022_at	Atac1
1633760_at	CG10399
1630870_s_at	sip2
1637191_at	Coprox
1631541_at	smt3
1635063_at	snRNP70K
1638227_at	SP1070
1623259_at	SP1070
1631029_at	CG13776
	ade3
1637037_at	ade3
1623092_at	Pcp
1623422_a_at	CG31908
1629040_at	CG3476
1632557_s_at	Rab30
1623573_s_at	CG11266
1623807_a_at	milt
1628458_at	milt
1639125_at	CG31630
1624748_a_at	Mnn1
1628458_at	Mnn1
1640352_at	Mnn1
1625478_at	Mnn1
1628998_at	CG31907
1640352_at	CG13779
1631363_at	Nuf2
1628718_at	CG11289
1630642_at	Pvf2
1632817_at	Pvf3
1632773_a_at	Pvf3
1641276_at	Pvf3
1637519_at	Pvf3
1638605_at	CG4495
1635933_at	CG4496
1631279_at	CG4497
1636718_s_at	CG4502
1639508_a_at	CG13784
1623715_at	CG13784
1623893_at	CG13784
1634269_at	CG13784
1623715_at	CG4567
1640301_a_at	Ndae1
1633207_at	Ndae1
1625111_at	CG13786
1632524_at	Wnt4
1638603_at	CG31909
1632868_a_at	wg
1627979_at	Wnt6
1623319_at	Wnt10
1631448_at	Wnt10
1625219_at	ninaC
1634054_at	ninaC
1630276_at	CG5149
1636373_at	CG5155
1629029_at	CG5160
1641446_s_at	CG5171
1629091_at	CG5177
1625658_at	CG5181
1637095_at	CG15818
1631863_at	chm
1638067_a_at	CG5261
1627493_at	CG5958
1626846_s_at	CG5973
1635522_a_at	santa-maria
1624034_at	Gr28a
1638594_at	Gr28b
1638033_at	CG6055
1634804_at	CG15819
1625597_a_at	CG6441
1635789_at	CG6630
1622902_at	Pbprp5
1622902_at	Rapgap1
1624122_a_at	Rapgap1
1626479_at	Rapgap1
1640847_at	CG13791
1629574_at	Spn7
1639170_at	Cyp4d21
1641423_at	CG6739
1636629_at	CG13792
1632392_s_at	Slob
1629784_a_at	Myo28B1
1631085_a_at	Myo28B1
1632695_at	CG18585
1635065_at	CG7025
1630067_a_at	TepII
1623753_at	TepIII
1626797_a_at	Ntl
1627994_at	CG33296
1633780_at	CG13793
1629637_at	CG13794
1624836_at	CG13795
1640224_s_at	CG13796
1641474_s_at	CG31904
1641474_s_at	Acp1
1635072_at	CG7214
1626168_at	CG7211
1628235_at	CG7203
1625799_a_at	CG7196
1627451_at	CG14538
1627069_at	CG7191
1623427_at	CG7179
1625436_at	Uro
1623535_at	CG7164
1632589_at	CG7154
1623017_at	CG7149
1623787_at	CG7144
1635051_a_at	Herp
1634859_at	r2d2
1633153_at	cdc14
1631380_s_at	LanB1
1633918_s_at	CG7115
1626602_at	Rack1
1640841_at	mts
1634080_at	CG14537
1624761_at	CG14535
1634786_at	lectin-28C
1628835_at	TwdlE
1639622_at	Proct
1624432_at	Spz3
1632001_at	CG7102
1623250_at	CG18591
	CG34132
1636829_at	CG31902
1631727_at	CG33121
1639414_at	Snoo
1641036_at	Snoo
1631727_at	Snoo
1637449_at	Snoo
1636480_at	CG14532
1633333_a_at	CG7231
1634913_s_at	pes
1634702_at	CG7227
1626442_at	CG7224
1639085_at	Wwox
1636145_at	CG7219
1626856_at	CG12560
1637173_at	CG34010
1624371_a_at	CG7356
1639515_at	CG7367
1628610_at	baf
1637815_s_at	Cka
1630997_at	CG7429
1632962_at	RpL36A
1625740_at	CG7466
1634654_at	poe
1641105_at	MED20
1624550_at	Trf
1629779_at	Mcr
1640457_s_at	Bsg
1628276_s_at	Bsg
1630764_at	CG8683
1640368_at	CG8673
1634298_at	CG12375
1630841_at	CG8668
1624826_at	CG8552
1623765_at	CG31606
1625063_a_at	CG31606
1630100_at	CG31607
1627870_at	CG31900
1632516_at	Rbsn
1636942_at	CG8498
1629396_a_at	CG8486
1641414_at	fos28F
1632072_at	CG34134
1625204_a_at	CG8475
1632072_at	CG8475
1636842_at	CG8460
1630877_a_at	CG8455
1625857_at	CG8451
1628616_at	CG8419
1640689_a_at	Su(var)205
1639981_at	Ssb-c31a
1629018_a_at	CG8372
1634429_at	CG8360
1632345_at	CG8353
1636962_at	CG8349
1636724_at	CG8292
1626945_at	Snx6
1638143_a_at	Pvr
1631670_at	Pvr
1631670_at	Spn2
1630815_at	CG14277
1623894_a_at	CG8086
1635348_at	CG8086
1636123_at	Btk29A
1636265_s_at	Btk29A
1636123_at	CG7870
1630045_at	Scgalpha
1623449_at	CG7840
1634945_at	CG7830
1638765_at	CG7818
1634299_at	CG7810
1635810_at	CG7806
1633211_a_at	CG7795
1633254_at	CG7787
1639596_at	CG7781
1639733_s_at	CG14275
1623763_at	CG14274
1628144_at	CG14273
1637795_at	CG7778
1623790_at	CG31901
1629309_at	CG7627
1635303_at	RpS13
1624894_s_at	CSN8
1625851_s_at	Pp2A-29B
1628290_s_at	CG17292
1627048_at	CG17293
1624077_at	CG13390
1623122_at	CG17294
1639644_at	Aats-ala
1636190_at	CG13392
1637667_at	CG17295
1631595_at	CG13393
1631237_s_at	CG13384
1627978_at	CG13394
	CG13394
1624840_at	Acp29AB
1636147_at	lectin-29Ca
1631204_at	Peritrophin-15b
1636622_at	Peritrophin-15a
1630967_at	CG13385
1627268_at	CG13386
1628425_at	CG31898
1638156_at	fy
1622939_at	emb
1634468_at	CG13397
1631712_at	CG13398
1640838_s_at	Akap200
1627092_at	CG31894
1627656_at	grk
1632998_at	D12
1637542_s_at	mus201
1626280_a_at	mus201
1626280_a_at	Chrac-14
1637542_s_at	Chrac-14
1632627_at	Chrac-14
1632627_at	CG31897
1629493_at	U26
1625344_at	U26
1625344_at	fu12
1636844_at	fu2
1633995_at	CG13087
1633193_at	CheA29a
1627637_at	d
1630092_at	CG13088
